listing_id,proxy_mean,proxy_std,review_count,mabs_mean,mover_mean,munder_mean,rating_mean,delta_S01,delta_S02,delta_S03,delta_S04,delta_S05,delta_S06,delta_S07,delta_S08,delta_S09,delta_S10,over_ratio,under_ratio
2992450,-0.019240990504084902,0.037254805932085196,7,0.11037170328571423,0.02952835699999993,0.08084334628571424,3.56,-0.12958959999999992,-0.017120612857142885,-0.07949702857142858,0.04093483428571428,-0.03084569428571424,-0.044807958571428545,-0.11934667857142854,-0.047848901428571386,-0.02213593285714293,-0.06289231999999992,0.42857142857142855,0.5714285714285714
3820211,0.0016953566658528645,0.037707949628665895,217,0.10855465029953912,0.05172534881566816,0.05682930148387091,4.75,-0.09221632179723498,0.05390199898617505,-0.12870980271889396,0.06663449456221195,-0.01937058829493085,-0.000774866129032211,-0.03709223124423963,-0.14110172276497693,0.00801066668202767,0.23967884603686632,0.5345622119815668,0.46543778801843316
5651579,0.016488900761884678,0.042659867262605525,175,0.0907846077428571,0.052240468954285635,0.03854413878857142,4.52,0.021028972685714267,0.0696615777142857,-0.03525220594285717,0.08264368205714283,0.006015776228571437,0.06005619057142852,0.012782011542857132,-0.047897310342857165,-0.001517528228571445,-0.03055786462857142,0.6114285714285714,0.38857142857142857
6623339,0.004628156934388894,0.03814160073674925,210,0.10210926320476185,0.051446602890476145,0.05066266031428566,4.73,-0.08298790299999996,0.058349160571428506,-0.09283640609523805,0.07037124780952378,-0.02174885447619045,-0.006202446333333284,-0.03197552280952381,-0.10642027995238092,0.004217966285714312,0.2170724637619047,0.5238095238095238,0.47619047619047616
9005989,0.02486445015671333,0.03822893402970399,330,0.10593794064545452,0.05710970871818181,0.04882823192727265,4.79,-0.1010520775454545,0.05066702272727272,-0.06190322439393934,0.09802959642424237,-0.010058537575757576,0.20650693551515154,-0.056839852424242374,-0.08583090966666664,0.07798529924242423,-0.03468948439393934,0.7454545454545455,0.2545454545454545
9501054,-0.06280370965066978,0.04461692071195277,194,0.09642861141288657,0.0509299876860824,0.04549862372680411,4.57,-0.07024055144329898,0.03500430325257729,-0.10173203762886596,0.05895306396907209,-0.0033758814432989347,-0.011932035463917556,0.16248509463917524,-0.00927269211340207,-0.013142611546391786,0.007566987371133972,0.04639175257731959,0.9536082474226805
10768745,-0.008485059263160304,0.042914920828718665,401,0.09503660362593515,0.03639202330174562,0.058644580324189496,4.83,-0.054984260648379066,-0.06696466446384036,-0.07920001905236905,-0.042134251271820446,-0.005857860673316655,-0.028947450024937652,0.19631910563591023,-0.05492217573566088,-0.05061874072319202,-0.03521525326683289,0.3865336658354115,0.6134663341645885
11253948,0.009683074881496476,0.034221700154230206,125,0.12015023147999998,0.06410775390399998,0.056042477575999984,4.96,-0.14783220752,-0.05584216295999999,-0.04487958944,-0.06724921631999999,-0.006479702719999971,0.18514918951999998,0.0032910820799999666,0.01733751031999995,-0.053523034559999946,0.25068089488,0.6,0.4
11639446,0.12731349092056257,0.033355102019631606,137,0.07299111551824815,0.018647094540145966,0.054344020978102155,4.81,-0.052158044598540156,-0.06380887875912407,-0.01965605350364958,-0.05203779321167879,0.016436740291970838,-0.04630198043795617,-0.09690833846715327,-0.03973112102189782,-0.021992603357664255,0.019188808686131372,1.0,0.0
13083497,0.010402426339531463,0.033600837629493154,113,0.09369068351327431,0.03454018538053096,0.05915049813274332,4.67,0.15160120796460178,-0.03938549371681411,-0.10546263212389376,-0.04597050168141587,-0.023937719911504413,-0.022002804424778755,-0.017798666991150465,-0.08537869920353983,-0.011193866460176961,-0.046573950973451295,0.584070796460177,0.415929203539823
